year,total_revenue,individual_income,payroll,corporate_income,excise,estate_and_gift,customs_duties,miscellaneous,total_outlay,dsicretionary,programmatic,offsetting_receipts,net_interest,unrate
1962,17.0,7.8,2.9,3.5,2.1,0.3,0.2,0.1,18.2,12.3,5.9,-1.2,1.2,5.566666667
1963,17.2,7.7,3.2,3.5,2.1,0.4,0.2,0.2,18.0,12.2,5.8,-1.3,1.3,5.641666667
1964,17.0,7.4,3.3,3.6,2.1,0.4,0.2,0.2,17.9,12.0,5.9,-1.2,1.2,5.158333333
1965,16.5,6.9,3.1,3.6,2.1,0.4,0.2,0.2,16.7,11.0,5.6,-1.1,1.2,4.508333333
1966,16.8,7.1,3.3,3.9,1.7,0.4,0.2,0.2,17.2,11.6,5.6,-1.1,1.2,3.791666667
1967,17.8,7.4,3.9,4.1,1.6,0.4,0.2,0.3,18.8,12.7,6.1,-1.2,1.2,3.841666667
1968,17.0,7.7,3.8,3.2,1.6,0.3,0.2,0.3,19.8,13.1,6.7,-1.2,1.2,3.558333333
1969,19.1,8.9,4.0,3.7,1.6,0.4,0.2,0.3,18.7,12.0,6.6,-1.1,1.3,3.491666667
1970,18.4,8.6,4.2,3.1,1.5,0.3,0.2,0.3,18.7,11.5,6.9,-1.1,1.4,4.983333333
1971,16.8,7.7,4.2,2.4,1.5,0.3,0.2,0.3,18.8,11.0,7.8,-1.3,1.3,5.95
1972,17.0,7.8,4.3,2.6,1.3,0.4,0.3,0.3,19.0,10.6,8.3,-1.2,1.3,5.6
1973,17.1,7.6,4.7,2.7,1.2,0.4,0.2,0.3,18.2,9.6,8.6,-1.3,1.3,4.858333333
1974,17.8,8.0,5.1,2.6,1.1,0.3,0.2,0.4,18.2,9.3,8.8,-1.4,1.4,5.641666667
1975,17.4,7.6,5.3,2.5,1.0,0.3,0.2,0.4,20.7,9.8,10.5,-1.1,1.4,8.475
1976,16.7,7.4,5.1,2.3,1.0,0.3,0.2,0.4,20.8,9.8,10.6,-1.1,1.5,7.7
1977,17.6,7.8,5.3,2.7,0.9,0.4,0.3,0.3,20.2,9.7,10.1,-1.1,1.5,7.05
1978,17.6,8.0,5.3,2.6,0.8,0.2,0.3,0.3,20.2,9.6,10.0,-1.0,1.6,6.066666667
1979,18.1,8.5,5.4,2.6,0.7,0.2,0.3,0.4,19.6,9.4,9.6,-1.0,1.7,5.85
1980,18.5,8.7,5.7,2.3,0.9,0.2,0.3,0.5,21.2,9.9,10.4,-1.0,1.9,7.175
1981,19.1,9.1,5.8,2.0,1.3,0.2,0.3,0.4,21.6,9.8,10.8,-1.2,2.2,7.616666667
1982,18.6,9.0,6.1,1.5,1.1,0.2,0.3,0.5,22.5,9.8,11.2,-1.1,2.6,9.708333333
1983,17.0,8.2,5.9,1.0,1.0,0.2,0.2,0.4,22.9,10.0,11.6,-1.3,2.5,9.6
1984,16.9,7.6,6.1,1.4,0.9,0.2,0.3,0.4,21.6,9.6,10.3,-1.1,2.8,7.508333333
1985,17.2,7.8,6.2,1.4,0.8,0.2,0.3,0.4,22.2,9.7,10.5,-1.1,3.0,7.191666667
1986,17.0,7.7,6.3,1.4,0.7,0.2,0.3,0.4,21.9,9.7,10.2,-1.0,3.0,7
1987,17.9,8.2,6.4,1.8,0.7,0.2,0.3,0.4,21.1,9.3,9.9,-1.1,2.9,6.175
1988,17.7,7.8,6.5,1.8,0.7,0.1,0.3,0.4,20.7,9.0,9.8,-1.1,3.0,5.491666667
1989,17.8,8.0,6.5,1.9,0.6,0.2,0.3,0.4,20.6,8.8,9.8,-1.1,3.0,5.258333333
1990,17.5,7.9,6.4,1.6,0.6,0.2,0.3,0.5,21.2,8.5,10.6,-1.0,3.1,5.616666667
1991,17.3,7.7,6.5,1.6,0.7,0.2,0.3,0.4,21.7,8.8,11.5,-1.7,3.2,6.85
1992,17.0,7.4,6.4,1.6,0.7,0.2,0.3,0.4,21.5,8.3,11.2,-1.1,3.1,7.491666667
1993,17.0,7.5,6.3,1.7,0.7,0.2,0.3,0.3,20.8,8.0,10.9,-1.0,2.9,6.908333333
1994,17.5,7.6,6.4,2.0,0.8,0.2,0.3,0.3,20.4,7.5,11.0,-1.0,2.8,6.1
1995,17.9,7.8,6.4,2.1,0.8,0.2,0.3,0.4,20.0,7.2,10.8,-1.0,3.1,5.591666667
1996,18.3,8.3,6.4,2.2,0.7,0.2,0.2,0.3,19.6,6.7,10.8,-0.9,3.0,5.408333333
1997,18.7,8.7,6.4,2.2,0.7,0.2,0.2,0.3,18.9,6.5,10.6,-1.0,2.9,4.941666667
1998,19.3,9.3,6.4,2.1,0.6,0.3,0.2,0.4,18.5,6.2,10.6,-0.9,2.7,4.5
1999,19.3,9.3,6.5,1.9,0.7,0.3,0.2,0.4,18.0,6.0,10.3,-0.8,2.4,4.216666667
2000,20.0,9.9,6.5,2.0,0.7,0.3,0.2,0.4,17.7,6.1,10.2,-0.8,2.2,3.966666667
2001,18.9,9.4,6.6,1.4,0.6,0.3,0.2,0.4,17.7,6.2,10.4,-0.8,2.0,4.741666667
2002,17.1,7.9,6.5,1.4,0.6,0.2,0.2,0.3,18.6,6.8,11.0,-0.8,1.6,5.783333333
2003,15.8,7.0,6.3,1.2,0.6,0.2,0.2,0.3,19.1,7.3,11.4,-0.9,1.4,5.991666667
2004,15.6,6.7,6.1,1.6,0.6,0.2,0.2,0.3,19.1,7.4,11.2,-0.9,1.3,5.541666667
2005,16.8,7.2,6.2,2.2,0.6,0.2,0.2,0.3,19.3,7.5,11.3,-1.0,1.4,5.083333333
2006,17.6,7.7,6.1,2.6,0.5,0.2,0.2,0.3,19.5,7.5,11.4,-1.1,1.7,4.608333333
2007,18.0,8.1,6.1,2.6,0.5,0.2,0.2,0.3,19.1,7.3,11.4,-1.2,1.7,4.616666667
2008,17.1,7.8,6.1,2.1,0.5,0.2,0.2,0.3,20.2,7.7,12.1,-1.3,1.7,5.8
2009,14.6,6.3,6.2,1.0,0.4,0.2,0.2,0.4,24.4,8.6,15.9,-1.3,1.3,9.283333333
2010,14.6,6.1,5.8,1.3,0.5,0.1,0.2,0.7,23.3,9.1,14.2,-1.3,1.3,9.608333333
2011,15.0,7.1,5.3,1.2,0.5,0.0,0.2,0.7,23.4,8.7,14.5,-1.4,1.5,8.933333333
2012,15.3,7.1,5.3,1.5,0.5,0.1,0.2,0.7,22.0,7.9,14.1,-1.4,1.4,8.075
2013,16.7,7.9,5.7,1.6,0.5,0.1,0.2,0.6,20.8,7.2,14.1,-1.8,1.3,7.358333333
2014,17.4,8.0,5.9,1.9,0.5,0.1,0.2,0.8,20.2,6.8,13.7,-1.6,1.3,6.158333333
2015,17.9,8.5,5.9,1.9,0.5,0.1,0.2,0.8,20.4,6.5,14.1,-1.4,1.2,5.275
2016,17.6,8.3,6.0,1.6,0.5,0.1,0.2,0.8,20.7,6.4,14.3,-1.3,1.3,4.875
2017,17.2,8.2,6.0,1.5,0.4,0.1,0.2,0.7,20.6,6.2,14.4,-1.3,1.4,4.35
2018,16.3,8.3,5.7,1.0,0.5,0.1,0.2,0.5,20.2,6.2,13.7,-1.3,1.6,3.891666667
2019,16.3,8.1,5.9,1.1,0.5,0.1,0.3,0.4,21.0,6.3,14.2,-1.3,1.8,3.683333333
2020,16.3,7.7,6.2,1.0,0.4,0.1,0.3,0.6,31.2,7.8,23.1,-1.3,1.6,8.108333333
